Ano-Mes,Outside Temperature,Barometer,Day Rain,Rain Rate,UV,Solar Radiation,Wind Speed,Outside Humidity,Wind Direction
2019-Jun,39.72,34.03,39.72,39.72,39.72,39.72,39.72,39.72,38.33
2019-Jul,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,35.48
2019-Aug,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,32.8
2019-Sep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-Oct,55.24,55.24,55.24,55.24,55.24,55.24,55.24,55.24,54.57
2019-Nov,34.86,34.86,34.86,34.86,34.86,34.86,34.86,34.86,34.17
2019-Dec,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,36.83
2020-Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-Feb,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01,26.01
2020-Mar,60.22,60.22,60.22,60.22,60.22,60.22,60.22,60.22,60.22
2020-Apr,87.64,87.64,87.64,87.64,87.64,87.64,87.64,87.64,87.5
2020-May,98.92,98.92,98.92,98.92,98.92,98.92,98.92,98.92,97.45
2020-Jun,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.89
2020-Jul,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,90.59
2020-Aug,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.36
2020-Sep,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.11
2020-Oct,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,89.92
2020-Nov,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.33
2020-Dec,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,48.79
2021-Jan,80.51,80.51,80.51,80.51,80.51,80.51,80.51,80.51,80.11
2021-Feb,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.85
2021-Mar,82.66,82.66,82.66,82.66,82.66,82.66,82.66,82.66,81.99
2021-Apr,83.47,83.47,83.47,83.47,83.47,83.47,83.47,83.47,80.56
2021-May,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.89
2021-Jun,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,21.53
2021-Jul,57.16,57.16,57.16,57.16,57.16,57.16,57.16,57.16,43.25
