index,Outside Temperature,Barometer,Rain,Rain Rate,UV,Solar Radiation,Wind Speed,Outside Humidity,Wind Direction
2019-6,50.97,55.79,50.97,50.97,50.97,50.97,50.97,50.97,52.56
2019-7,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,28.05
2019-8,53.71,53.71,53.71,53.71,53.71,53.71,53.71,53.71,55.58
2019-9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-10,44.77,44.77,44.77,44.77,44.77,44.77,44.77,44.77,45.56
2019-11,65.08,65.08,65.08,65.08,65.08,65.08,65.08,65.08,65.83
2019-12,62.44,62.44,62.44,62.44,62.44,62.44,62.44,62.44,63.03
2020-1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-2,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.22
2020-3,69.35,69.35,69.35,69.35,69.35,69.35,69.35,69.35,69.38
2020-4,55.71,55.71,55.71,55.71,55.71,55.71,55.71,55.71,56.11
2020-5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0
2020-6,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,50.94
2020-7,53.23,53.23,53.23,53.23,53.23,53.23,53.23,53.23,54.11
2020-8,84.42,84.42,84.42,84.42,84.42,84.42,84.42,84.42,84.71
2020-9,63.46,63.46,63.46,63.46,63.46,63.46,63.46,63.46,64.2
2020-10,52.44,52.44,52.44,52.44,52.44,52.44,52.44,52.44,53.56
2020-11,51.42,51.42,51.42,51.42,51.42,51.42,51.42,51.42,51.9
2020-12,72.69,72.69,72.69,72.69,72.69,72.69,72.69,72.69,73.69
2021-1,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,58.49
2021-2,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.3
2021-3,57.49,57.49,57.49,57.49,57.49,57.49,57.49,57.49,58.36
2021-4,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,58.82
2021-5,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,58.04
2021-6,76.11,76.11,76.11,76.11,76.11,76.11,76.11,76.11,88.99
2021-7,69.69,69.69,69.69,69.69,69.69,69.69,69.69,69.69,77.99
